[2025-06-26 09:05:00] 📊 CPU: 6.4% | RAM: 65.7% | SWAP: 0.0% | Disk I/O: 0.59 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20763360.0 KB ↓ 409424.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:04:48] 📊 CPU: 6.2% | RAM: 65.7% | SWAP: 0.0% | Disk I/O: 0.00 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20762524.0 KB ↓ 409424.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:04:36] 📊 CPU: 6.3% | RAM: 65.7% | SWAP: 0.0% | Disk I/O: 0.30 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20762396.0 KB ↓ 409424.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:04:24] 📊 CPU: 6.6% | RAM: 65.7% | SWAP: 0.0% | Disk I/O: 0.00 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20762220.0 KB ↓ 409424.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:04:12] 📊 CPU: 6.3% | RAM: 65.7% | SWAP: 0.0% | Disk I/O: 0.00 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20762060.0 KB ↓ 409420.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:04:00] 📊 CPU: 6.0% | RAM: 65.7% | SWAP: 0.0% | Disk I/O: 0.57 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20761044.0 KB ↓ 409420.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:03:47] 📊 CPU: 6.2% | RAM: 65.7% | SWAP: 0.0% | Disk I/O: 0.14 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20760092.0 KB ↓ 409420.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:03:35] 📊 CPU: 5.7% | RAM: 65.7% | SWAP: 0.0% | Disk I/O: 0.13 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20758712.0 KB ↓ 409416.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:03:23] 📊 CPU: 6.4% | RAM: 65.7% | SWAP: 0.0% | Disk I/O: 0.82 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20758108.0 KB ↓ 409276.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:03:11] 📊 CPU: 7.9% | RAM: 65.7% | SWAP: 0.0% | Disk I/O: 0.14 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20757296.0 KB ↓ 409268.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:02:59] 📊 CPU: 6.0% | RAM: 65.7% | SWAP: 0.0% | Disk I/O: 0.13 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20755932.0 KB ↓ 409264.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:02:47] 📊 CPU: 6.9% | RAM: 65.7% | SWAP: 0.0% | Disk I/O: 0.29 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20754424.0 KB ↓ 409264.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:02:35] 📊 CPU: 6.4% | RAM: 65.7% | SWAP: 0.0% | Disk I/O: 0.13 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20754080.0 KB ↓ 409264.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:02:23] 📊 CPU: 5.6% | RAM: 65.6% | SWAP: 0.0% | Disk I/O: 0.14 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20753516.0 KB ↓ 409264.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:02:11] 📊 CPU: 6.7% | RAM: 65.7% | SWAP: 0.0% | Disk I/O: 0.13 MB/s | SSH: 0 | 🌐 Port 3005: 1 conns | ↑ 41505816.0 KB ↓ 818528.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:01:59] 📊 CPU: 5.9% | RAM: 65.7% | SWAP: 0.0% | Disk I/O: 0.26 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20752056.0 KB ↓ 409260.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:01:47] 📊 CPU: 6.7% | RAM: 65.7% | SWAP: 0.0% | Disk I/O: 0.40 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20751632.0 KB ↓ 409260.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:01:35] 📊 CPU: 6.3% | RAM: 65.7% | SWAP: 0.0% | Disk I/O: 0.06 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20750592.0 KB ↓ 409252.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:01:23] 📊 CPU: 7.0% | RAM: 65.7% | SWAP: 0.0% | Disk I/O: 0.13 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20749976.0 KB ↓ 409248.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:01:11] 📊 CPU: 6.1% | RAM: 65.7% | SWAP: 0.0% | Disk I/O: 0.00 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20749356.0 KB ↓ 409248.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:00:59] 📊 CPU: 6.8% | RAM: 65.7% | SWAP: 0.0% | Disk I/O: 0.00 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20748748.0 KB ↓ 409248.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:00:47] 📊 CPU: 6.0% | RAM: 65.7% | SWAP: 0.0% | Disk I/O: 0.00 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20748544.0 KB ↓ 409248.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:00:35] 📊 CPU: 6.7% | RAM: 65.7% | SWAP: 0.0% | Disk I/O: 0.33 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20747396.0 KB ↓ 409248.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:00:23] 📊 CPU: 5.9% | RAM: 65.8% | SWAP: 0.0% | Disk I/O: 0.14 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20747104.0 KB ↓ 409248.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:00:11] 📊 CPU: 6.4% | RAM: 65.7% | SWAP: 0.0% | Disk I/O: 0.15 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20747064.0 KB ↓ 409248.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 08:59:59] 📊 CPU: 6.7% | RAM: 65.6% | SWAP: 0.0% | Disk I/O: 0.13 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20746936.0 KB ↓ 409248.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 08:59:47] 📊 CPU: 6.2% | RAM: 65.7% | SWAP: 0.0% | Disk I/O: 0.53 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20746508.0 KB ↓ 409244.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 08:59:35] 📊 CPU: 5.8% | RAM: 65.7% | SWAP: 0.0% | Disk I/O: 0.13 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20746376.0 KB ↓ 409244.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 08:59:23] 📊 CPU: 6.1% | RAM: 65.7% | SWAP: 0.0% | Disk I/O: 0.13 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20745896.0 KB ↓ 409244.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
